アカウントID,StudentID,Group,Account Name,Role,SatisfactionScore,Opinion
64596,61194,EDUCATION,ibuki2002,student,,
64595,61216,EDUCATION,ShotaK523,student,,
64594,61192,EDUCATION,Keitakawayan,student,4,データサイエンスが今後ますます重要になっていく事を改めて実感した。これからの講義は、とにかく学習を継続する事を念頭において粘り強く取り組みたい。
64593,56418,OTHER,MasamichiKiwaty,student,4,データサイエンスにかかる基礎的な考え方、Pythonの環境構築と基礎復習、統計にかかる知識の復習とPythonを用いた計算の要領、機械学習の種類と概念特に教師あり学習と教師なし学習のプロセスと、その応用としてのLLMの位置付け
64592,61189,EDUCATION,Yamamichi,student,,
64591,61188,EDUCATION,yoshida-23,student,,
64590,61829,EDUCATION,winston210,student,,
64589,61190,EDUCATION,ri226718ku,student,,
64588,61213,EDUCATION,tokage3go,student,,
64587,61191,EDUCATION,henryzzz,student,4,GCIサマーレクチャーの概要や学ぶ内容について基本的な情報を知ることができました。データサイエンスの学習が楽しみです！
64586,56417,OTHER,TaniguchiT,student,,
64585,61186,EDUCATION,AmiruShii,student,,
64584,61193,EDUCATION,Northiceberg,student,,
64583,61187,EDUCATION,Moriwaki_Toya,student,5,データサイエンスには背景にある課題意識や現場の知識も必要であるということが学べた。
64582,61185,EDUCATION,Nakatsuka_Taichi,student,5,まずデータサイエンスの概要について学んだ。データサイエンスはなんのための分野なのかということや具体的なプロセスはどのようなものなのかということである。\nデータサイエンスの流れとして「データの理解」、「データの前処理」、「モデルの構築」、「モデルの評価」の大きく4プロセスに分かれる。\nまたプログラミング言語のひとつであるPythonについての基礎の部分を学んだ。演算子やライブラリの種類、データの型などこれからの学習の基盤となる要素である。
64581,61183,EDUCATION,Yukiki12,student,5,本日の講義では、データサイエンスの基礎と重要性について学びました。データ解析の手法や統計学的アプローチを活用し、ビジネスや研究における意思決定に役立てる方法を理解しました。
64580,61181,EDUCATION,Kohtake11,student,5,生成AIの台頭により、より効率的に業務を実行できるようになったものの、正しいかどうかを判断できるようになるためにも学ぶ必要がある。自分から学ぶ姿勢を持ち続け、切磋琢磨しながら高めていくべきである。
64579,61182,EDUCATION,rnk_711_zn,student,,
64578,61179,EDUCATION,Inomata22,student,,
64577,61184,EDUCATION,Orangeman20,student,,
64576,56416,OTHER,LBOMZHYHN,student,4,講義からデータ分析の概要について具体例とともに理解できた。特にデータの取り扱いについては、課題認識をもって分析目的、目標を定め、取り扱うべきデータを定めて分析することが必要である点が印象的であった。
64575,61180,EDUCATION,AuralMarina7,student,5,データサイエンスの流れ①データの理解②データの前処理③モデル構築④モデル評価について概要を学んだ。また、Pythonの演算子やリストなどについても学んだが新しいことが多いためまだ理解することができていない。特にリストの行と列を想像するのが自分にとっては難しかった。
64574,61172,EDUCATION,ShintaroKikuchi,student,,
64573,61294,EDUCATION,Hatamoeka,student,,
64572,61171,EDUCATION,MasaakiKaki,student,4,GCIでは、データサイエンティストとして必要な素質を育成することを学び、さらにはデータサイエンスのおおまかな流れ、基礎的なphythonの動かし方について学んだ。
64571,56415,OTHER,PoohsDaughter,student,,
64570,61170,EDUCATION,OKsaitamacat,student,4,データサイエンスに関する概要だけでなく、データを認識するカテゴリーなど必要事項も学習し、自分が知らなかった内容を補足することができた。Pythonについても、知識整理や確認という点で有意義に学習できた。
64569,61168,EDUCATION,Gori_bleu,student,,
64568,61166,EDUCATION,choco_love,student,,
64567,61165,EDUCATION,oh_no_i_am_ito,student,,
64564,61164,EDUCATION,ShimomuraHU,student,,
64563,61163,EDUCATION,masakinakamura,student,5,データサイエンスについての大まかな概要について学んだ。pythonの基礎から機械学習、回帰の基礎的なところの情報が得られました。
64562,56413,OTHER,kyo_shiro,student,,
64561,61162,EDUCATION,mucho123,student,,
64560,61169,EDUCATION,mohumohu,student,5,"pythonの基本的なルールについて詳しく学ぶことができました。私自身,\npythonをなんとくしかやってこなかったのでいままでよくわかっていなかったところを理解できました。また、pythonの考え方で自分の中で腑に落ちないものがあり、ずっとよくわからないままにしていたことをこの動画を通して理解することができました。"
64559,61159,EDUCATION,Rio_2025,student,,
64558,61155,EDUCATION,Shunsuke0603,student,,
64557,61156,EDUCATION,Tanukimaru,student,5,pythonの基本知識について、自分の研究にどのように生かせそうか、また、今後どのように学習を進めていくべきか、どのようなものを習得していくのかを学んだ。
64556,61154,EDUCATION,kuriyasu08,student,,
64555,61153,EDUCATION,yuta0626,student,5,データサイエンスの導入講義を通じて、今後の授業で学ぶ内容や、データを正確かつ倫理的に扱う重要性について理解を深めた。また、実践的なスキルを高めるために修了生向けに用意されているインターンシップにも非常に興味を持ち、今後の学びを社会に活かしていきたいと感じた。\n\n
64554,61151,EDUCATION,yuki_stu,student,,
64552,61157,EDUCATION,belliniss0723,student,,
64551,61150,EDUCATION,18harsaito,student,,
64550,61147,EDUCATION,yoshihiko_maru,student,,
64549,61145,EDUCATION,kohei59b,student,,
64548,61144,EDUCATION,kaekae820,student,,
64547,56412,OTHER,ONUMA_Yusei,student,5,Pythonにおけるデータの取り扱い方法からsklearnというライブラリを用いた機械学習の触りの部分まで基本的な理論を理解することができた。変数の代入方法はもちろん、リストの作り方やpandasを用いたデータフレームの構築方法など、インタプリタ言語であるPythonのコーディングに少し慣れることができた。
64546,61146,EDUCATION,Rina1219,student,5,データサイエンスの流れ、python・統計・機械学習の基礎知識、
64545,61419,EDUCATION,higashide,student,,
64544,61140,EDUCATION,yukinishimori,student,,
64543,61138,EDUCATION,jannkenn,student,,
64542,61149,EDUCATION,yoshimura3802,student,,
64541,61136,EDUCATION,haruto5108,student,,
64540,56410,OTHER,Hirabayashi,student,5,AIの基本的事項について自主的に学習することができた。また、事前に環境設定を確認することができ、態勢を整えることができた。
64539,61131,EDUCATION,Las37458,student,,
64538,61130,EDUCATION,Haruk1_KTGW,student,,
64537,61128,EDUCATION,akarinochosen,student,,
64536,61127,EDUCATION,damin139,student,5,機械学習の基礎を学ぶことができた。
64535,61126,EDUCATION,zukki9914,student,,
64534,61125,EDUCATION,Shiratori2929,student,,
64533,61124,EDUCATION,naichiAirgrie,student,,
64532,61121,EDUCATION,sunghyun,student,,
64531,61120,EDUCATION,kakazu-riku,student,5,Pythonの基本の演算子やコードの復習を自分の手で実際に動かしながら行い、理解度を高めることができた。また、データサイエンスの流れ、得られたデータをどう処理し活用していくのかを具体的な事例も踏まえつつ学ぶことができた。
64530,61123,EDUCATION,RiekoNAKAMURA,student,,
64529,61119,EDUCATION,sippomodoki,student,,
64528,61118,EDUCATION,Soramame1129,student,,
64527,61116,EDUCATION,Atsuki28,student,,
64526,61114,EDUCATION,Katsuki0301,student,,
64524,61113,EDUCATION,ryoumeda,student,5,Pythonを用いてプログラムを実行することができる。intやfloatなどの型があり、一定の規則に従ってコードが記述される。
64523,61115,EDUCATION,sassa_yuta,student,4,基本的な箇所はある程度抑えていたため、その復習となった。特に、機械学習とは何か・その手法のスライドが見やすく、pdfをさらさら読むだけで頭に内容が入ってきた。\n次元圧縮の分析事例が以前まで曖昧であったため、学べてよかった。
64522,61122,EDUCATION,motokistudy,student,,
64521,56409,OTHER,atom0427,student,,
64520,61111,EDUCATION,komako00,student,,
64519,61110,EDUCATION,ntymt271,student,,
64517,56408,OTHER,Yoshitaka109,student,,
64515,61103,EDUCATION,AraiTanukichi,student,,
64514,61100,EDUCATION,7oy5_coyi,student,,
64513,61104,EDUCATION,Hiroyuki03,student,,
64512,61102,EDUCATION,unlucky73,student,4,全体の概要とデータサイエンスの大まかな流れ、phythonの基本的なことを学んだ。また、コードが入力済のphythonで実戦形式でもphythonを学んだ
64511,61101,EDUCATION,Hahahaha,student,,
64509,61099,EDUCATION,KihouKyuu,student,,
64508,61096,EDUCATION,METoyoKen,student,,
64507,61095,EDUCATION,JOKOJOKO1111,student,,
64506,61094,EDUCATION,rohigano55,student,5,データサイエンスの基礎知識について学びました。また、Pythonの使い方についても理解を深めることができました。
64505,61089,EDUCATION,T_Hana482,student,5,今回の講義でPythonの基礎文法を学んだだけでなく、データサイエンスの流れについて学ぶことができました。
64504,61091,EDUCATION,NeigeNuage,student,,
64501,61086,EDUCATION,ShigeOmnicampus,student,5,データサイエンスの基本、Pythonの基礎について学ぶことができた。また非常に丁寧な動画説明に加え、演習があり自身でも手を動かすことで、基礎知識を身に着けることができた。
64500,61084,EDUCATION,shin235711,student,,
64499,61083,EDUCATION,SJkotaro,student,,
64498,61082,EDUCATION,Passionstrategy,student,,
64497,61081,EDUCATION,ylvhle27,student,,
64496,61080,EDUCATION,shion123,student,5,pythonを使って様々な計算の求め方を学んだ。また、データサイエンスのどこで統計の知識を用いるか、機械学習の種類などを学んだ
64495,61470,EDUCATION,sayooooo,student,,
64494,61098,EDUCATION,nawatobi,student,,
64493,61079,EDUCATION,cs_3134_,student,,
64492,61077,EDUCATION,aochimarun,student,,
64491,61075,EDUCATION,reibunya,student,,
64490,61076,EDUCATION,Anthony39,student,,
64489,61074,EDUCATION,hanay-28,student,,
64488,61078,EDUCATION,KokiOtsuji,student,,
64487,61073,EDUCATION,Yamap1215,student,,
64486,61175,EDUCATION,Kitanooo,student,,
64485,61372,EDUCATION,suguriexv30,student,,
64484,61072,EDUCATION,14-Jun-02,student,,
64483,61071,EDUCATION,Poru0130,student,4,データサイエンスの簡単な流れについて
64482,61106,EDUCATION,Rintaro1014,student,,
64480,61429,EDUCATION,ruirekuto,student,,
64479,61070,EDUCATION,NakamuraYudai26,student,4,教師あり学習や教師なし学習について、実際にどのようなことがなされているのか、またデータを分析するにあたって必要なフローを学ぶことができた。
64478,61069,EDUCATION,ogu_ogu_5,student,5,データサイエンスの意義について、また、今後の社会で生き抜くための、データの分析の必要性について学びました。
64477,61067,EDUCATION,TTrabbit,student,,
64476,61068,EDUCATION,PerfectEngeneer,student,,
64475,61066,EDUCATION,ReamiYamamoto,student,,
64474,61247,EDUCATION,Ryota_tohoku,student,,
64473,61065,EDUCATION,koreanidol,student,5,本講座の具体的な流れや将来的な展望のイメージが具体的に湧いてきたので、とても有意義な講義であったように感じた。
64472,61064,EDUCATION,Mizmi2208,student,5,データサイエンスやPythonの基礎がまとまっていて、初学者にとっても分かりやすい内容だった。\n実際に自分でPythonを使う演習も充実していたので理解が深まった。
64471,61063,EDUCATION,hiddentreasure,student,5,本講義を受講するにあたり必要な基礎知識を学びました。
64470,61062,EDUCATION,Haru0421,student,5,データサイエンスの基礎的な考え方や実際にデータを扱うときの流れを知ることができた。また、pythonの基礎的な記述方法などについて知ることができ、実際に実践することができた。
64469,61060,EDUCATION,zuwantan,student,,
64468,61059,EDUCATION,yusuke55,student,,
64467,61058,EDUCATION,ShunsukeAkasaki,student,,
64466,56406,OTHER,flagfootball2028,student,,
64465,61057,EDUCATION,masaminami,student,,
64464,61056,EDUCATION,Fuusankun,student,,
64463,61054,EDUCATION,Ryunoshin8,student,,
64462,61053,EDUCATION,kira5525,student,,
64461,61052,EDUCATION,MmMm_0611,student,,
64460,61051,EDUCATION,TaiyoKANEUCHI,student,,
64458,56404,OTHER,kUqryhfejrom,student,3,関数、演算子、リストなど基本演算を通じて、Pythonのプログラムの基本的な見方、ファイルの入出力やデバッグ方法を学んだ。
64453,62731,EDUCATION,arisa1309,student,,
64452,61048,EDUCATION,k_fra0103,student,5,GCIの講義を受けるにあたり、データサイエンスとは何かをしること、データを扱う流れ、Pythonの基本的な知識を得ることができました。
64448,61045,EDUCATION,sora1871,student,3,事前学習ということで既に理解していることだったが、あらためてしっかりと学ぶことが出来てよかったと思う。
64447,61044,EDUCATION,HuaZiyang,student,5,Pythonなどの基本知識や機械学習などのノウハウも学びました。これを知って、これから自分も今後の勉強のために、基礎を土台にします。
64446,61040,EDUCATION,george_ngt,student,,
64445,61039,EDUCATION,Reifukeiojp,student,,
64444,61038,EDUCATION,DOMI29103,student,5,久しぶりにPythonを扱ったのでかなり忘れているものがあった。メソッドの並び替えをsortで出来ることは初めて知った。また、String型を出力した際にシングルクオーテーションが出力されることも意識していなかったので覚えておこうと思う。
64443,61037,EDUCATION,SCHimoLURin,student,,
64442,61035,EDUCATION,tuis_souta,student,,
64441,61134,EDUCATION,yuyahoriho,student,4,統計、データサイエンス基本的な事項について確認できた。Pythonについてはすでに学んでいた他のプログラミング言語と照合しながら覚えられた。
64440,61030,EDUCATION,renya0118,student,,
64439,61029,EDUCATION,tororoku1069,student,,
64438,61031,EDUCATION,HiRoKi999,student,,
64437,63196,EDUCATION,kurowasabi,student,4,データサイエンスとは、データを集め、データを使い、問題点や課題などを表面化して、新しい価値を生み出すこと\npythonの基礎知識である演算子、変数、データ型、リスト、関数、オブジェクトとクラス、ライブラリについてを再復習することができました
64436,61174,EDUCATION,Nasu3697,student,5,GCI 2025 Summerにおける講義の全体像や目的、学習スケジュールについて把握し学ぶことが出来た。
64434,61042,EDUCATION,pompomkai,student,4,データサイエンスとは大量のデータを分析して新たな価値を生み出す学問分野のことであり、その流れは、データの理解・データの前処理・モデル構築・モデル評価という4つに分けられることを学んだ。\nまた、Pythonというプログラミング言語を利用するにあたって必要となる最低限の知識（変数や関数など）についても学んだ。
64433,61050,EDUCATION,maki0maru,student,,
64432,61028,EDUCATION,WKDIKOKO,student,,
64431,61034,EDUCATION,punipuni369,student,,
64430,56397,OTHER,Iron1980,student,3,データサイエンスの基本（分析、前処理、構築、分析）とPythonの使用環境の確認と基本的なコード作成について理解できた。
64429,61036,EDUCATION,Taiki019,student,4,python、統計の基礎を理解した。
64428,61026,EDUCATION,TakizawaY,student,,
64427,56390,OTHER,ImShige42,student,,
64425,61023,EDUCATION,Tokyo9020,student,,
64423,61024,EDUCATION,Moritai0926,student,,
64422,61019,EDUCATION,Yun012345,student,5,Pythonの基礎を含めたこれから学んでいくデータサイエンスに関するおおまかな流れを掴むことができた。これからより深く学んでいきたいと思った。
64421,61530,EDUCATION,kotoriUser,student,,
64420,61542,EDUCATION,Rimta0015,student,5,GCIベーシックにおいては、データサイエンスの仕組みを理論的に学びました。これまでデータサイエンスに対する認識はイメージに過ぎず、今回初めてそれが知識として認識できたと感じています。
64419,61017,EDUCATION,qrumin963,student,,
64418,56386,OTHER,Takasann,student,,
64417,56385,OTHER,TsutsumiA,student,,
64416,61015,EDUCATION,Taiki1225,student,,
64415,61013,EDUCATION,Sugasawa,student,4,データサイエンスの基本的な考え方から、pythonの基本文法などを学んだ。
64414,61016,EDUCATION,tatatsukk,student,,
64413,61010,EDUCATION,AkiraUniya,student,,
64412,61027,EDUCATION,Snowman03,student,5,Pythonの基礎的な利用方法について理解できた。ライブラリからmatplotlibやnumpy、scikitlearnを用いて様々な形でデータの可視化などができることを理解できた。
64411,56384,OTHER,ryou_matsuoka,student,,
64410,61005,EDUCATION,kanaya_ko,student,,
64409,56383,OTHER,HitomiMaruyama,student,,
64408,61002,EDUCATION,koji1007,student,4,データサイエンスの定義、概要とその具体例。Pythonの四則演算やデータ型、リストやライブラリなどの基本的な使い方。
64407,56382,OTHER,T0giwara,student,3,基礎的な事を復習することができました。内容もわかりやすく、動画で説明してもらえたので学習しやすかったです。
64406,61097,EDUCATION,kianaoh12,student,,
64405,61003,EDUCATION,koikkeee,student,,
64404,61989,EDUCATION,rinkitay,student,,
64403,61004,EDUCATION,yorowillbea1,student,5,データ分析とデータサイエンスの定義とそれぞれの作業流れ、扱い課題です。また、統計学の基礎知識と機械学習のベーシック概念です
64402,61007,EDUCATION,koumenmeme,student,,
64401,60998,EDUCATION,SaidAyyy,student,,
64400,61001,EDUCATION,Matsubara23,student,,
64399,56378,OTHER,senzanko,student,,
64398,56377,OTHER,Naoko123,student,,
64397,56376,OTHER,ttkimurah,student,5,データサイエンティストは企業からの依頼の目的も聞き取る力が必要なことだと理解した。
64396,60999,EDUCATION,ANT_Kanp,student,,
64394,60997,EDUCATION,pandakopanda,student,,
64393,61129,EDUCATION,Yuta0130,student,,
64392,60996,EDUCATION,kkk02130hhh,student,,
64391,60993,EDUCATION,ymasu011817,student,5,今まで、理解が甘かったオブジェクトとクラスについての理科を深めることができた。
64390,60995,EDUCATION,Kuroyanagiyota,student,,
64386,60988,EDUCATION,tgjmjamt,student,,
64385,60987,EDUCATION,kubohiroto,student,4,pythonを使うことによってより効率的な分析ができることが分かった。ディープラーニングを用いた様々な試行手段でデータの分析や推測が行われていることを初めて知った。
64384,60989,EDUCATION,hana_04m,student,,
64383,60986,EDUCATION,JunYoshi,student,,
64382,60985,EDUCATION,MakiRyota,student,,
64381,60982,EDUCATION,haruto01,student,,
64380,61479,EDUCATION,Rintaro_Tokunaga,student,5,Pythonの基礎を網羅的に学べました。特に、各テーマについて体系的に説明されていたので理解がしやすく、基礎が身についたと思います。
64379,60980,EDUCATION,Junsei2005,student,,
64378,60978,EDUCATION,Yomogimochi,student,,
64377,60979,EDUCATION,kawamoto_,student,4,python の基礎的な部分を再確認することが出来た。データサイエンスについてのイメージも自分の中で膨らませることが出来た。
64376,60977,EDUCATION,Yamazaki75,student,,
64375,60976,EDUCATION,Speedykunsan,student,,
64373,60972,EDUCATION,mkjagaimo,student,,
64372,60974,EDUCATION,kyabetsu,student,,
64371,60971,EDUCATION,nobuuuuun,student,,
64369,60968,EDUCATION,trackfield,student,,
64367,60969,EDUCATION,aerosuzu,student,5,データの理解→データの前処理→モデルの構築→モデルの評価といったデータサイエンスの流れから実際のpythonの基礎、算術演算子や比較演算子からリスト、関数、メソッドまで学ぶことが出来た。
64366,61043,EDUCATION,nanashu3,student,,
64365,60961,EDUCATION,ZuofanFang,student,4,本日の講義の内容は主にガイダンス的なものでした。松尾先生がおっしゃった「現在社会で活躍する仮説」がとても印象的でした。仮説思考：PDCAのループを高速で回せる人。デジタルスキルが高い人：デジタル/データ・AI/サービス開発。目的思考：ゴールから逆算/ 決める/選択する/未来を想像する。
64364,61291,EDUCATION,zizou0804,student,,
64363,60960,EDUCATION,haveaniceday,student,5,初回の講義までに知っておくべき最低限の内容について学ぶことができた。特にPythonの操作方法のところは、いろいろな本を読みあさっていたところなので、簡潔かつ丁寧な内容が載っていて良かった。
64362,60962,EDUCATION,yuki_yoneyama,student,,
64360,60964,EDUCATION,SqIToSotq3,student,,
64356,60954,EDUCATION,MINHOKIM,student,,
64355,60955,EDUCATION,hill_moo,student,,
64354,60957,EDUCATION,o-chazuke,student,,
64353,60959,EDUCATION,rikumyon,student,5,pythonの基礎的な部分を学んだ。pythonの文法や機械学習について体系的に学べた。実際に手を動かしてコードを書くことによって理解度が深まった。
64352,60963,EDUCATION,kotetsu03,student,5,私はデータサイエンスを知りたいという気持ちともう一方で起業するために幅を広げ、実践方法を知るためにも受講しました。今日はデータについて軽く触れましたが専門用語がまだ未熟なためもっと勉学に励もうと思いました！
64351,60956,EDUCATION,jogensasaki,student,,
64349,61620,EDUCATION,MiuOshiro,student,,
64348,61117,EDUCATION,ryumonex,student,,
64347,61006,EDUCATION,kiboshimazu,student,,
64346,60950,EDUCATION,murshm472,student,,
64345,60948,EDUCATION,sakurastar,student,,
64343,60946,EDUCATION,Mokomokouta,student,,
64342,60943,EDUCATION,tstsm1723,student,,
64341,60942,EDUCATION,maxdonburako,student,,
64340,60941,EDUCATION,paulmartin,student,4,データサイエンスはすべての分野に関わることを携わっている人からの生の声で聴けたことはとてもやるに気につながった。データを正しく学ぶことで情報が多く飛び交う現代で生きる力が身につくと教わった。
64339,60939,EDUCATION,sheg1180,student,3,データサイエンスを学ぶ上でのマインドセットの重要性を確認できた。そして、それは単にデータサイエンスに関わらず、どのライフステージにおいても持つべきものだといえる。
64338,60938,EDUCATION,deguli0528,student,,
64337,60935,EDUCATION,Herrlichkeit,student,,
64336,60934,EDUCATION,ayaka718,student,,
64335,60925,EDUCATION,YukaKyoto,student,,
64334,60990,EDUCATION,yuya0909,student,,
64332,60921,EDUCATION,1ta3usuke,student,,
64330,60958,EDUCATION,YutoohYagi,student,,
64329,60919,EDUCATION,yu236745,student,,
64328,60923,EDUCATION,Reiselust,student,,
64327,61022,EDUCATION,MonkeyGeorge,student,,
64326,61012,EDUCATION,1TheDoctorX,student,,
64325,60917,EDUCATION,FMatsuda,student,5,データサイエンス、プログラミングの基礎について学んだ。また統計に関する知識も復習できた。\nプログラミング、Pythonに関しては完全に初心者で、出てくる用語に知らないものもありなかなか話を掴むのが難しかった。講師の方が「これについてはあとで説明するのでまだ理解しなくて良い」と提示してくれるのが分かりやすくて良かった。
64324,60947,EDUCATION,ksm11235,student,5,データサイエンスには流れがあり、データをただ集めるだけでなく、整理して処理しなければならないこと。また、モデルを使い、構築、評価をすること。
64323,61375,EDUCATION,guchiiryoma,student,3,本日の講義で、プログラミング講座についての概要について網羅的に知ることことができました。修了できるように頑張りたいです。本日は講義ありがとうございました。
64321,63007,EDUCATION,yoshida9,student,,
64320,60933,EDUCATION,ss0845204413,student,,
64319,64000,EDUCATION,Takamasa2020,student,,
64318,60916,EDUCATION,riku2023,student,,
64317,61268,EDUCATION,TsukinamiHusuke,student,,
64316,61317,EDUCATION,Morimoto8818,student,5,事前学習スライドにより、Pythonの基礎知識とデータサイエンス、について学ぶ事ができました。
64315,60992,EDUCATION,Kirara724,student,5,第一回の講義では、GCIで学ぶことの概要、身につけることができるスキル、GCI修了後どのように活かせるかなどを学んだ。データサイエンスとは、という初歩的な解説から、データ分析の手順、実際にデータサイエンティストとして働く場合どのような課題に直面するかなどを塚本先生に教えていただいた。修了生の方からは修了後のインターンや企業についても説明を受けた。修了のハードルも高いが、海外研修に行きたいので初学者なりに頑張って優秀生を目指したい。
64314,60929,EDUCATION,ohons4_ooOoo,student,5,基本的な統計用語やpythonのコードをpdf資料を通して再確認することができた。
64313,56361,SPONSOR,nakatani3763,student,,
64312,60915,EDUCATION,Wknhn728,student,,
64311,62163,EDUCATION,shiichan,student,,
64310,61436,EDUCATION,KawahitoKota,student,5,現在学生で、これから研究していく上でデータサイエンティストやエンジニアになるための考え方が分かり今後に活かせる。
64309,60928,EDUCATION,takato77,student,,
64308,61177,EDUCATION,ushijima397,student,,
64307,62208,EDUCATION,mtojo310,student,,
64306,61033,EDUCATION,yokOmnicampus,student,5,GCIの受講に先立って必要なデータサイエンス、Python、統計、機械学習それぞれの基礎的知識を学ぶことができた
64305,61671,EDUCATION,LoubeMae,student,,
64304,61249,EDUCATION,Youtube1220,student,,
64303,61362,EDUCATION,Amuro_Kotaro,student,4,ｃ言語ができるのでpythonの使い方が分かった。回帰と分類、AIのデータの取り込み方について、少しわかった。
64302,60926,EDUCATION,maimaiii,student,,
64301,61011,EDUCATION,MinamiAA,student,4,独学で学習をしていたが、その際の理解しているようで、理解していなかった点（教師あり学習、教師なし学習の主な手法についてなど）を学ぶことができた。
64299,62025,EDUCATION,RinrinST,student,,
64298,63435,EDUCATION,Croissant0,student,,
64297,61388,EDUCATION,Shota_Kaneko,student,,
64295,60953,EDUCATION,SZKSouth,student,,
64294,62451,EDUCATION,MyuraMyyra,student,,
64293,61093,EDUCATION,1222nayu,student,,
64292,61662,EDUCATION,tentishinmei,student,,
64287,61009,EDUCATION,yokoyamaA,student,,
64285,60918,EDUCATION,Capricorn,student,,
64284,61683,EDUCATION,tomatoma,student,,
64283,60913,EDUCATION,lente624,student,,
64282,60908,EDUCATION,keiichiro,student,,
64281,60922,EDUCATION,d_toyoda,student,4,データサイエンスにおいて、データすべてを学習に回すのではなく、一部をテスト用に残しておくということ。また、テストデータの位置を変えて複数回試行する、交差検証法というものがあるということ。\nPythonに関しては、多次元におけるリストの使い方を新たに学んだ。
64279,60907,EDUCATION,sexualharassment,student,,
64278,60905,EDUCATION,yamamoto555,student,,
64277,60906,EDUCATION,Na2mi723,student,,
64276,60902,EDUCATION,kiyama5528,student,,
64275,60900,EDUCATION,yuna1010,student,,
64274,60910,EDUCATION,YushinMINAMI,student,,
64273,61426,EDUCATION,Ryusei128,student,,
64271,60899,EDUCATION,Tokuyamasan,student,,
64270,56344,OTHER,mouridaisuke,student,3,Pythonの基本的な知識、統計の知識を学ぶことができた。
64269,60894,EDUCATION,jiku_jiku,student,,
64268,60893,EDUCATION,Johnsonny,student,,
64267,60891,EDUCATION,Helmion1077,student,4,データサイエンスには、データ理解、前処理、モデル構築、モデル評価の４つの段階がある。標準化は各データと平均値の差を標準偏差で割ることである。モデルには、回帰や分類、クラスタリングなどがある。
64266,60890,EDUCATION,ryoma0201,student,5,データサイエンスの実務上のフローや基礎知識を学んだ。特に統計のステップではpythonと一緒に説明があってより実践的な内容を学べた。
64263,60889,EDUCATION,ryomamunimuni,student,,
64262,60888,EDUCATION,daijunamiki,student,,
64261,60885,EDUCATION,SoedaHaruto,student,3,pythonの基礎的な文法やコードの実行方法、書き方を中心にきほんてきな部分を学んだ。しかし、pythonに詳しい私からすると新たに学びを得たものはなかったと考える。
64260,60886,EDUCATION,Poralis23,student,,
64259,60884,EDUCATION,Yokohamamatsu,student,,
64258,63498,EDUCATION,Ryo_Nehashi,student,5,データサイエンスの実際の活用事例から流れについて学んだ。データサイエンスには回帰、分類、クラスタリングの3種類があることを知った。
64257,60883,EDUCATION,YusakuFukumoto,student,,
64256,60882,EDUCATION,Makura1017,student,,
64255,60877,EDUCATION,kiyokiyom,student,,
64254,60874,EDUCATION,dsk_0711,student,,
64253,60875,EDUCATION,NaoMiyo7034,student,,
64252,60873,EDUCATION,yuta_aogai,student,,
64251,60869,EDUCATION,AdachiShuta,student,5,事前学習としてデータサイエンスのデータの理解、データの前処理、モデルの構築、モデルの評価という流れやそれぞれの段階で用いる統計手法や機械学習の種類、Pythonの基本文法などについて学ぶことができた。
64250,60966,EDUCATION,etak825286,student,,
64249,60867,EDUCATION,sswatari,student,,
64248,60870,EDUCATION,KENTA7491,student,,
64247,60872,EDUCATION,MasaJ888,student,,
64246,60871,EDUCATION,egaogaichiban,student,,
64243,60866,EDUCATION,RoyMustang,student,,
64242,61143,EDUCATION,AfternoonTea,student,,
64241,60864,EDUCATION,Murakami56,student,5,なし
64239,60860,EDUCATION,mkatdgrq,student,,
64238,60858,EDUCATION,YuzuUrashima,student,,
64237,60861,EDUCATION,miooo015,student,,
64236,60859,EDUCATION,KaiEgu05,student,,
64235,60855,EDUCATION,Ahirunrun,student,,
64234,60854,EDUCATION,nemunemu,student,,
64233,60849,EDUCATION,RYOUME79,student,,
64232,60853,EDUCATION,Kaz_4062,student,4,データサイエンスにおける基礎的な考え方とgoogle colabの基本的な使い方
64231,60844,EDUCATION,tsutsutsush,student,,
64230,60848,EDUCATION,daihu_kuuuuu,student,,
64229,60845,EDUCATION,aoiioa09,student,,
64228,60847,EDUCATION,oukou0127,student,5,事前学習で統計学について必要な知識、機械学習の知識を学んできてよかったです。特に印象に残ったのは線形回帰のモデル式と標準偏差です。
64227,63436,EDUCATION,meguiii093,student,,
64225,60842,EDUCATION,Linachin,student,,
64224,60840,EDUCATION,aritandism,student,,
64223,61092,EDUCATION,o_p6m7nth,student,,
64222,60839,EDUCATION,Ryuta_KUSAKABE,student,,
64221,60837,EDUCATION,ShoheiKomada,student,,
64220,56343,OTHER,YoshihiroKato,student,4,今後、講義を受けていくにあたっての基礎として求められる事項について流れを理解できた。
64219,60835,EDUCATION,mahhie201,student,5,"これから GCI を学ぶ上でどのようなことを学んでいくのかについて見通しが立ったという点が非常に大きいと思っている. Python については事前知識があったため特段学習に問題はなかったが, 改めて初心に帰って勉学に励んでいきたい."
64218,60850,EDUCATION,Fluidmachinery,student,5,プログラムの基礎、基本構文、語彙について学んだ。特にPythonの基礎・実践では、変数・データ型・リスト・関数・メソッドなど本質的な部分から理解を行うことができ、基礎からの理解を深めることができた。
64217,60831,EDUCATION,Ryoji_ku,student,,
64216,60841,EDUCATION,chen020718,student,,
64215,62459,EDUCATION,JayRyo1018,student,,
64213,60827,EDUCATION,Ryota_In,student,,
64212,60834,EDUCATION,lilies0610,student,,
